skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,spark_gbt,0.4315234826580821,0.8550067889567142,0.446551724137931,0.425287356321839,0.47005444646098,0.6064
sql,spark_logistic_regression,0.370154465344731,0.8665635338816118,0.4018518518518518,0.4102079395085066,0.3938294010889292,0.7762
sql,spark_random_forest,0.406294162745333,0.8692866406937995,0.4429223744292237,0.381389252948886,0.5281306715063521,0.4485
python,spark_gbt,0.4693500050857532,0.8854161076126754,0.4839596700274977,0.415748031496063,0.5789473684210527,0.5504
python,spark_logistic_regression,0.4850219067812436,0.9189852499194968,0.5347593582887701,0.4504504504504504,0.6578947368421053,0.7242
python,spark_random_forest,0.4719379105805238,0.911055069054349,0.5008347245409015,0.4043126684636118,0.6578947368421053,0.4242
linux,spark_gbt,0.4530628465518943,0.8875518030008634,0.4588644264194669,0.4008097165991903,0.5365853658536586,0.6041
linux,spark_logistic_regression,0.4190342724733992,0.9247911881229012,0.4781144781144781,0.4080459770114942,0.5772357723577236,0.7728
linux,spark_random_forest,0.4253447942216388,0.9248672104875464,0.4615384615384615,0.3961165048543689,0.5528455284552846,0.5042
postgresql,spark_gbt,0.3997430332501996,0.8923886564214388,0.4110275689223057,0.3423799582463465,0.5141065830721003,0.6395
postgresql,spark_logistic_regression,0.3295607792037974,0.910945181936369,0.3967611336032389,0.2929745889387145,0.6144200626959248,0.7275
postgresql,spark_random_forest,0.3743896899605542,0.9149010334258516,0.4030710172744721,0.2904564315352697,0.658307210031348,0.423
аналитическое мышление,spark_gbt,0.2146311808060263,0.79623420491684,0.2585924713584288,0.2851985559566787,0.2365269461077844,0.6496
аналитическое мышление,spark_logistic_regression,0.2028978281412278,0.8063593093533216,0.2600619195046439,0.1984251968503937,0.3772455089820359,0.7149
аналитическое мышление,spark_random_forest,0.2027031176687973,0.8171541532319975,0.2732626619552414,0.2252427184466019,0.3473053892215569,0.4378
git,spark_gbt,0.3681474162255672,0.8892397944530034,0.3625450180072029,0.2735507246376811,0.5373665480427047,0.5283
git,spark_logistic_regression,0.2683553276700346,0.9061083215521863,0.3446153846153846,0.3035230352303523,0.398576512455516,0.8425
git,spark_random_forest,0.3259211389711186,0.9100391230010474,0.3419811320754717,0.255731922398589,0.5160142348754448,0.5368
деловая коммуникация,spark_gbt,0.2217265550848579,0.8140700855594475,0.2915360501567398,0.2307692307692307,0.3957446808510638,0.5741
деловая коммуникация,spark_logistic_regression,0.1852269861510006,0.8511000749298626,0.258364312267658,0.1652794292508917,0.5914893617021276,0.6598
деловая коммуникация,spark_random_forest,0.2075898422687325,0.8553351804415632,0.301255230125523,0.2240663900414937,0.4595744680851064,0.5189
работа с большим объемом информации,spark_gbt,0.1958775353416871,0.7598839195344128,0.2258064516129032,0.1944444444444444,0.2692307692307692,0.5501
работа с большим объемом информации,spark_logistic_regression,0.1459144666713209,0.807498418522267,0.2204362801377726,0.1571194762684124,0.3692307692307692,0.7082
работа с большим объемом информации,spark_random_forest,0.2065424744595033,0.8171058957489875,0.2533495736906211,0.1853832442067736,0.4,0.4135
docker,spark_gbt,0.3066389960017363,0.8981427184372676,0.3630769230769231,0.275058275058275,0.5339366515837104,0.507
docker,spark_logistic_regression,0.3102717642634232,0.9257678960052476,0.3590504451038576,0.2671081677704194,0.5475113122171946,0.7928
docker,spark_random_forest,0.2957996177659169,0.9219466257092548,0.3780068728522336,0.3047091412742382,0.497737556561086,0.5374
1с программирование,spark_gbt,0.5500549942840002,0.9548575797383964,0.5887265135699373,0.4779661016949152,0.7663043478260869,0.6931
1с программирование,spark_logistic_regression,0.518570414384962,0.9797846568918268,0.5916030534351145,0.4558823529411764,0.842391304347826,0.8187
1с программирование,spark_random_forest,0.5648274756192518,0.9814037912817466,0.6268656716417911,0.5157894736842106,0.7989130434782609,0.5561
организаторские навыки,spark_gbt,0.2413676004386112,0.8353289148166975,0.2958057395143488,0.2576923076923076,0.3471502590673575,0.6402
организаторские навыки,spark_logistic_regression,0.1992209289040738,0.8742733091081966,0.2808349146110057,0.2215568862275449,0.3834196891191709,0.823
организаторские навыки,spark_random_forest,0.2243311330605562,0.873722469615323,0.2828854314002829,0.1945525291828793,0.5181347150259067,0.473
деловая переписка,spark_gbt,0.2196140669538487,0.8070537688232595,0.2596899224806202,0.2012012012012012,0.366120218579235,0.5099
деловая переписка,spark_logistic_regression,0.1926554843751967,0.8748072965064422,0.2728476821192053,0.18006993006993,0.5628415300546448,0.707
